Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
SRM 619	20	243.05	250	2014-05-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15852
SRM 619	20	413.43	600	2014-05-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15852
SRM 619	20	458.88	950	2014-05-05 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15852
SRM 620	20	245.09	250	2014-05-10 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15853
SRM 620	20	485.28	500	2014-05-10 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15853
SRM 620	20	446.55	1000	2014-05-10 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15853
TCO14 Round 2A	25	233.49	250	2014-05-17 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15978
TCO14 Round 2A	25	291.63	500	2014-05-17 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15978
TCO14 Round 2A	25	0.0	1000	2014-05-17 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15978
SRM 621	20	255.17	275	2014-05-20 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15854
SRM 621	20	484.5	500	2014-05-20 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15854
SRM 621	20	521.86	1000	2014-05-20 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15854
SRM 622	20	246.68	250	2014-05-28 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15855
SRM 622	20	458.68	500	2014-05-28 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15855
SRM 622	20	548.44	1000	2014-05-28 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15855
SRM 623	20	277.29	300	2014-06-04 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15856
SRM 623	20	422.2	450	2014-06-04 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15856
SRM 623	20	0.0	1000	2014-06-04 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15856
TCO14 Round 2B	25	325.57	350	2014-06-07 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15996
TCO14 Round 2B	25	245.31	500	2014-06-07 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15996
